X,Y,OBJECTID,ORGANIZATION_NAME,PROGRAM_NAME,DESCRIPTION,WEBSITE_URL,STREET_ADDRESS,CITY,STATE,ZIP,LAT,LONG_,ACCESSIBILITY_SERVICES,ADULT_LITERACY,ART_THERAPY,ASSESSMENT,BORROW_MATERIALS,CASE_MANAGEMENT,CHILD_CARE,CLOTHING,COMPUTERS,DENTAL_SERVICES,DOCUMENTATION_ASSISTANCE,DOMESTIC_VIOLENCE_SERVICES,FOOD_GROCERIES,GROUPS,HAIRCUTS,HARM_REDUCTION,HIV_TESTING,HOUSING,HOUSING_NAVIGATION,INCOME_TAX_HELP,LAUNDRY,LIBRARY_CARD,LEGAL_SERVICES,MEDICAL_BENEFITS,MEDICAL_SERVICES,MAIL,MEALS,MENTAL_HEALTH,MINISTRY,PHONE,PUBLIC_RESTROOMS,REFRESHMENTS,SHOWERS,SNAP_FOOD_STAMPS,STORAGE,SUBSTANCE_ABUSE_TREATMENT,SUPPORTED_EMPLOYMENT,TANF_FINANCIAL_ASSISTANCE,TRANSPORTATION,VOCATIONAL_TRAINING,CLIENTS_SERVED_PER_DAY,TARGET,OPEN_TO_PUBLIC,HOURS_OF_OPERATION,RECORD_LAST_UPDATED,MAR_MATCHADDRESS,MAR_XCOORD,MAR_YCOORD,MAR_LATITUDE,MAR_LONGITUDE,MAR_WARD,MAR_CENSUS_TRACT,MAR_ZIPCODE,MARID,MAR_ERROR,MAR_SCORE,MAR_SOURCEOPERATION,MAR_IGNORE
-76.99191950481665,38.932709457482105,10,Catholic Charities,Refugee Center,"The Refugee Center is a home to welcome refugees and those who have asylum status to Washington, DC. The program helps these families to learn cultural norms about their new community in a safe environment and provides support in finding a job. Our staff understand what it is like to be refugee or asylee — many of them were once refugees themselves!  This allows us to offer services and support that fit the unique experiences of those who had to flee their home and come to the United States.
 In addition to our employment services, we offer refugees referrals for housing, help finding employment and education about the culture and social customs here in America.",https://www.catholiccharitiesdc.org/refugee/,"1018 Monroe Street, NE",Washington ,DC,20017,38.932782,-76.991917,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,Yes,,,,,2017-09-12T00:00:00.000Z,1018 MONROE STREET NE,400700.81,140535.49,38.932702,-76.99191722,Ward 5,9301,20017,75480,,100,DC Address,
-76.992086087192462,38.931319757315293,11,Catholic Charities,Anchor Counseling Services,"Catholic Charities Behavioral Health Services is one of the highest rated provider in Washington, DC – we are a free-standing mental health clinic who serves as a Core Service Provider for DC Department of Behavioral Health. We provide help for adults living with mental illness that includes furthering education, finding and securing employment, managing medication and providing ongoing case management services.  Following a comprehensive intake, which includes diagnosis, our staff guide clients to a more self-sufficient and healthy lifestyle.",https://www.catholiccharitiesdc.org/behavioralhealth/,"1001 Lawrence St., NE",Washington ,DC,20017,38.931256,-76.992072,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,Yes,,,,,,,,,2017-09-12T00:00:00.000Z,1001 LAWRENCE STREET NE,400686.38,140381.22,38.9313123,-76.9920838,Ward 5,9301,20017,289589,,100,DC Address,
-77.011065459001671,38.898692209955883,12,Central Union Mission,Ministry Resource Center & Shelter,"Central Union Mission is a faith-based 501(c)(3) nonprofit organization with six locations throughout the Washington metropolitan area. In addition to its family ministries, the Mission operates an emergency shelter program, a rehabilitation program for men with life-controlling issues, a food, clothing and furniture distribution center, a retreat and recreation center with a camp for underprivileged children, programs for isolated seniors, computer and job training and transitional and low-cost housing.",http://www.missiondc.org/,"65 Massachusetts Avenue, NW",Washington ,DC,20001,38.898689,-77.011088,,,,,,,,Yes,,,,,Yes,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,25,Men,Yes,,2017-09-12T00:00:00.000Z,65 MASSACHUSETTS AVENUE NW,399040.32,136759.32,38.89868476,-77.01106317,Ward 6,4702,20001,237153,,100,DC Address,
-77.039990697599521,38.924855482197593,13,Christ House,Medical Care & Housing Services,"Christ House is a 24-hour residential medical facility for homeless persons in DC. Patients are admitted to Christ House from area hospitals, shelters, clinics, and medical outreach projects. They suffer from a variety of illnesses and injuries including cancer, hypertension and stroke, liver disease, kidney failure, diabetes and related amputations, HIV/AIDS, respiratory disease, major lacerations, fractures, and ulcerations of the skin. Many are malnourished, anemic, depressed, and desperately disconnected from healthy sources of support.",http://christhouse.org/,1717 Columbia Road NW,Washington ,DC,,38.924893,-77.039967,,,Yes,,,Yes,,,,,,,,Yes,,,,Yes,,,,,,,Yes,,,,Yes,,,,,,,Yes,,,,,,Men & Women,By Appointment,,2017-09-12T00:00:00.000Z,1717 COLUMBIA ROAD NW,396532.46,139664.36,38.92484802,-77.0399884,Ward 1,3900,20009,235976,,100,DC Address,
-77.030472232353645,38.89866515751887,14,Church of the Epiphany,The Welcome Table,"The mission of The Welcome Table is to feed the hungry, build diverse and inclusive community, worship as one, and give and receive the love of Christ. Approximately 200 downtown poor participate in the various aspects of The Welcome Table every Sunday morning.",http://epiphanydc.org/ministry/welcome-table/,1317 G St. NW,Washington ,DC,20005,38.898739,-77.03042,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,Yes,,Yes,,,,,,,,,,,,29,Men & Women,Yes,,2017-09-12T00:00:00.000Z,1317 G STREET NW,397356.87,136756.7,38.89865771,-77.03046994,Ward 2,5800,20005,279048,,100,DC Address,
-77.029315601341565,38.904205143533439,15,Coalition for the Homeless,Administrative Office,The purpose of the Coalition is to assist individuals and families in the District of Columbia who have become homeless to fulfill their potential for economic self-sufficiency. CFH fulfills its mission by operating and managing 11 program sites in the District of Columbia that includes transitional and permanent housing for men and families with children. ,http://www.dccfh.org/,"1234 Massachusetts Ave, NW, Suite C-1015",Washington ,DC,,38.904188,-77.029267,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,Men & Women,By Appointment,,2017-09-12T00:00:00.000Z,1234 MASSACHUSETTS AVENUE NW,397457.4,137371.65,38.90419769,-77.02931331,Ward 2,10100,20005,240920,,100,DC Address,
-76.994539516173589,38.883646999902851,16,Community Connections,Main Office,"Our mission is to provide behavioral health, residential services, and primary health care coordination for marginalized and disenfranchised women, men, youth, and children living in the District of Columbia, many of whom are coping with challenges including mental illness, addiction, and the aftermath of trauma and abuse. ",http://www.communityconnectionsdc.org/,801 Pennsylvania Ave SE,Washington ,DC,,38.883601,-76.994593,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,Men & Women,,,2017-09-12T00:00:00.000Z,801 PENNSYLVANIA AVENUE SE,400473.97,135089.14,38.88363955,-76.99453724,Ward 6,7000,20003,280150,,100,DC Address,
-76.972159064603289,38.900233090027029,1,Anacostia Community Outreach Center (ACOC),Food Pantry & Computer Center,"For the past 20 years, the ACOC Food Pantry Program has provided free bagged groceries to hungry families, seniors, and single adults. On average, the program hands out approximately 600 bags of groceries per month. In addition, anyone interested in finding employment can come to ACOC, sign up for our job readiness and/or basic computer skills classes, which are instructor led and computer based.  In our fully integrated computer lab, students can take job readiness assessments that gauge their career interest, learn the fundamentals of job research, resume writing and interviewing, as well as basic Microsoft office skills in Word, PowerPoint, and Excel.",http://www.anacostiaoutreach.org/wordpress/,"711 24th Street, NE",Washington ,DC,20002,38.899073,-76.972338,,,,,,,,,Yes,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,Men & Women,Yes,,2017-09-12T00:00:00.000Z,711 24TH STREET NE,402415.22,136930.68,38.90022564,-76.97215679,Ward 5,8904,20002,291073,,100,DC Address,
-76.993253177286832,38.861403112396452,2,Bethlehem Baptist Outreach Center,BBC Outreach Center,"The BBC Outreach Center provides food, clothing, dinner every Friday (4:00pm-6:00pm), and counseling for all Southeast DC residents (a referral is required for all other residents). ",http://washington.dc.networkofcare.org/mh/services/agency.aspx?pid=BethlehemBaptistChurchOutreachCenter_1347_2_0,2458 Martin Luther King Jr Avenue S,Washington ,DC,20020,38.861387,-76.993271,,,,,,,,Yes,,,,,Yes,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,15,,Yes,,2017-09-12T00:00:00.000Z,2458 MARTIN LUTHER KING JR AVENUE SE,400585.76,132619.91,38.86139567,-76.9932509,Ward 8,7407,20020,287071,Quad: Missing,85,DC Address,
-76.981056828015213,38.866208121718181,3,Bread for the City,Southeast Center,"The mission of Bread for the City is to help Washington, DC residents living with low income to develop the power to determine the future of their own communities. We provide food, clothing, medical care, and legal and social services to reduce the burden of poverty. We seek justice through community organizing and public advocacy. We work to uproot racism, a major cause of poverty. We are committed to treating our clients with the dignity and respect that all people deserve.",https://breadforthecity.org/,1640 Good Hope Road SE,Washington ,DC,20020,38.86622,-76.98109,,,,,,Yes,,Yes,,,Yes,,Yes,,,,,,Yes,,,,Yes,Yes,,,,,,,,,,Yes,,,,Yes,,,25,Men & Women,By Appointment,,2017-09-12T00:00:00.000Z,1640 GOOD HOPE ROAD SE,401644.18,133153.45,38.86620067,-76.98105455,Ward 8,7605,20020,286380,,100,DC Address,
